ts, humidity, pm10, pm25, temp
2019-05-03T14:16:00Z,44.9,4,3,23.7
2019-05-03T14:17:00Z,44.96,5,4,23.71
2019-05-03T14:19:00Z,44.96,5,4,23.75
2019-05-03T14:19:00Z,44.96,5,4,23.75
2019-05-03T14:20:00Z,44.77,4,3,23.78
2019-05-03T14:21:00Z,44.92,6,4,23.78
2019-05-03T14:22:00Z,45.3,4,4,23.81
2019-05-03T14:23:00Z,45.09,4,4,23.84
2019-05-03T14:24:00Z,44.91,3,3,23.86
2019-05-03T14:25:00Z,44.74,4,3,23.89
2019-05-03T14:26:00Z,44.83,3,3,23.91
2019-05-03T14:27:00Z,44.81,3,3,23.94
2019-05-03T14:28:00Z,44.6,3,3,23.97
2019-05-03T14:29:00Z,44.6,4,3,24
2019-05-03T14:30:00Z,44.56,4,4,24.03
2019-05-03T14:31:00Z,44.52,3,3,24.05
2019-05-03T14:32:00Z,44.44,4,4,24.08
2019-05-03T14:33:00Z,44.56,4,3,24.09
2019-05-03T14:34:00Z,44.36,4,4,24.11
2019-05-03T14:35:00Z,44.34,4,4,24.14
2019-05-03T14:36:00Z,44.19,3,3,24.16
2019-05-03T14:37:00Z,44.2,4,3,24.16
2019-05-03T14:38:00Z,44.17,4,3,24.17
2019-05-03T14:38:00Z,44.17,4,3,24.17
2019-05-03T14:40:00Z,43.98,3,3,24.2
2019-05-03T14:40:00Z,43.98,3,3,24.2
2019-05-03T14:42:00Z,44.09,4,3,24.23
2019-05-03T14:43:00Z,44.07,3,3,24.24
2019-05-03T14:44:00Z,44.13,4,3,24.24
2019-05-03T14:45:00Z,44,3,3,24.24
2019-05-03T14:46:00Z,44.16,3,3,24.26
2019-05-03T14:47:00Z,44.07,3,3,24.28
2019-05-03T14:48:00Z,44.03,4,3,24.29
2019-05-03T14:49:00Z,43.95,3,3,24.3
2019-05-03T14:50:00Z,43.79,4,3,24.31
2019-05-03T14:50:00Z,43.79,4,3,24.31
2019-05-03T14:52:00Z,44.13,3,2,24.34
2019-05-03T14:52:00Z,44.13,3,2,24.34
2019-05-03T14:54:00Z,43.83,3,3,24.39
2019-05-03T14:55:00Z,43.97,4,3,24.41
2019-05-03T14:56:00Z,43.75,3,3,24.45
2019-05-03T14:57:00Z,43.64,4,3,24.47
2019-05-03T14:58:00Z,43.64,4,4,24.48
2019-05-03T14:59:00Z,43.61,4,3,24.49
2019-05-03T15:00:00Z,43.71,3,2,24.49
2019-05-03T15:01:00Z,43.13,4,3,24.68
2019-05-03T15:02:00Z,43.17,3,3,24.66
2019-05-03T15:03:00Z,43.24,2,2,24.62
2019-05-03T15:04:00Z,43.32,3,3,24.59
2019-05-03T15:05:00Z,43.36,4,3,24.56
2019-05-03T15:06:00Z,43.39,2,2,24.55
2019-05-03T15:07:00Z,43.32,4,2,24.53
2019-05-03T15:08:00Z,43.36,4,2,24.51
2019-05-03T15:09:00Z,43.55,5,4,24.49
2019-05-03T15:10:00Z,43.42,3,3,24.48
2019-05-03T15:11:00Z,43.46,3,3,24.48
2019-05-03T15:12:00Z,43.54,3,2,24.47
2019-05-03T15:13:00Z,43.55,3,1,24.48
2019-05-03T15:14:00Z,43.42,4,3,24.47
2019-05-03T15:15:00Z,43.38,4,4,24.47
2019-05-03T15:16:00Z,43.46,3,2,24.47
2019-05-03T15:17:00Z,43.56,4,3,24.45
2019-05-03T15:18:00Z,44.03,3,2,24.31
2019-05-03T15:19:00Z,43.74,4,3,24.49
2019-05-03T15:20:00Z,43.34,4,3,24.64
2019-05-03T15:21:00Z,42.98,2,1,24.75
2019-05-03T15:22:00Z,43,1,0,24.81
2019-05-03T15:23:00Z,42.89,4,3,24.83
2019-05-03T15:24:00Z,42.82,3,3,24.85
2019-05-03T15:25:00Z,42.8,4,3,24.85
2019-05-03T15:26:00Z,42.83,3,1,24.85
2019-05-03T15:26:00Z,42.83,3,1,24.85
2019-05-03T15:28:00Z,42.75,3,3,24.85
2019-05-03T15:29:00Z,42.8,4,2,24.84
2019-05-03T15:30:00Z,42.71,4,3,24.84
2019-05-03T15:31:00Z,42.78,0,0,24.81
2019-05-03T15:32:00Z,42.8,0,0,24.79
2019-05-03T15:33:00Z,42.92,0,0,24.77
2019-05-03T15:34:00Z,42.9,0,0,24.75
2019-05-03T15:35:00Z,42.91,0,0,24.72
2019-05-03T15:36:00Z,42.97,0,0,24.69
2019-05-03T15:37:00Z,43.05,0,0,24.65
2019-05-03T15:38:00Z,43.03,0,0,24.62
2019-05-03T15:39:00Z,43.18,0,0,24.59
2019-05-03T15:40:00Z,43.16,0,0,24.57
2019-05-03T15:40:00Z,43.16,0,0,24.57
2019-05-03T15:42:00Z,43.17,3,1,24.53
2019-05-03T15:43:00Z,43.33,3,0,24.53
2019-05-03T15:44:00Z,43.31,3,2,24.5
2019-05-03T15:45:00Z,43.25,1,1,24.49
2019-05-03T15:46:00Z,43.42,5,4,24.45
2019-05-03T15:47:00Z,43.72,9,4,24.39
2019-05-03T15:48:00Z,43.58,2,1,24.37
2019-05-03T15:49:00Z,43.53,4,3,24.36
2019-05-03T15:50:00Z,43.69,4,3,24.33
2019-05-03T15:51:00Z,43.64,4,3,24.31
2019-05-03T15:51:00Z,43.64,4,3,24.31
2019-05-03T15:53:00Z,43.73,2,2,24.27
2019-05-03T15:54:00Z,43.61,5,3,24.26
2019-05-03T15:54:00Z,43.61,5,3,24.26
2019-05-03T15:56:00Z,43.61,0,0,24.22
2019-05-03T15:57:00Z,43.57,0,0,24.2
2019-05-03T15:58:00Z,43.63,2,2,24.18
2019-05-03T15:59:00Z,43.61,0,0,24.16
2019-05-03T16:00:00Z,43.65,0,0,24.13
2019-05-03T16:01:00Z,43.73,0,0,24.11
2019-05-03T16:02:00Z,43.7,0,0,24.09
2019-05-03T16:03:00Z,43.78,1,0,24.07
2019-05-03T16:04:00Z,43.8,1,1,24.04
2019-05-03T16:05:00Z,43.79,0,0,24.01
2019-05-03T16:06:00Z,43.84,0,0,23.99
2019-05-03T16:07:00Z,43.86,0,0,23.96
2019-05-03T16:08:00Z,43.91,0,0,23.93
2019-05-03T16:09:00Z,43.9,2,2,23.91
