ts, humidity, pm10, pm25, temp
2019-05-03T14:16:00Z,45.07,3,1,23.83
2019-05-03T14:17:00Z,45.07,3,3,23.84
2019-05-03T14:18:00Z,45.11,6,4,23.85
2019-05-03T14:20:00Z,44.97,5,4,23.9
2019-05-03T14:20:00Z,44.97,5,4,23.9
2019-05-03T14:21:00Z,44.89,4,4,23.91
2019-05-03T14:22:00Z,44.98,4,4,23.93
2019-05-03T14:23:00Z,45.04,4,2,23.94
2019-05-03T14:24:00Z,44.87,3,3,23.98
2019-05-03T14:25:00Z,44.89,3,2,23.98
2019-05-03T14:26:00Z,44.89,4,3,24.02
2019-05-03T14:27:00Z,44.83,4,2,24.04
2019-05-03T14:28:00Z,44.75,4,3,24.07
2019-05-03T14:29:00Z,44.78,3,3,24.1
2019-05-03T14:29:00Z,44.78,3,3,24.1
2019-05-03T14:31:00Z,44.69,3,3,24.16
2019-05-03T14:32:00Z,44.63,4,3,24.18
2019-05-03T14:32:00Z,44.63,4,3,24.18
2019-05-03T14:34:00Z,44.49,3,3,24.22
2019-05-03T14:35:00Z,44.43,4,4,24.25
2019-05-03T14:36:00Z,45.11,2,1,24.27
2019-05-03T14:37:00Z,44.38,4,2,24.29
2019-05-03T14:38:00Z,44.3,3,2,24.3
2019-05-03T14:39:00Z,44.4,5,1,24.31
2019-05-03T14:40:00Z,44.15,2,1,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:41:00Z,44.18,2,2,24.33
2019-05-03T14:51:00Z,44.19,1,0,24.43
2019-05-03T14:52:00Z,44.04,4,4,24.46
2019-05-03T14:52:00Z,44.04,4,4,24.46
2019-05-03T14:54:00Z,43.91,1,1,24.51
2019-05-03T14:54:00Z,43.91,1,1,24.51
2019-05-03T14:56:00Z,43.91,3,3,24.57
2019-05-03T14:57:00Z,43.76,3,3,24.59
2019-05-03T14:57:00Z,43.76,3,3,24.59
2019-05-03T14:59:00Z,43.98,5,3,24.62
2019-05-03T15:00:00Z,43.75,5,3,24.61
2019-05-03T15:01:00Z,43.82,3,3,24.62
2019-05-03T15:01:00Z,43.82,3,3,24.62
